page_title	pl_title
三好頼澄	三好長秀
三好頼澄	北畠材親
三好頼澄	大内義興
三好頼澄	細川澄元
三好頼澄	細川高国
三好頼澄	芥川長光
三宅宗隆	上杉謙信
三宅宗隆	佐久間盛政
三宅宗隆	畠山氏
三宅宗隆	織田信長
三宅家義	三好氏
三宅家義	城井朝房
三宅家義	城井鎮房
三宅家義	黒田孝高
三宅家義	黒田長政
三宅康信	三宅康貞
三宅康信	徳川家康
三宅康信	徳川秀忠
三宅康信	戸田一西
三宅康信	関一政
三宅康貞	三宅康信
三宅康貞	内藤政長
三宅康貞	徳川家康
三宅康貞	鳥居元忠
三宅康貞	鳥居忠吉
三宅総広	三宅長盛
三宅総広	温井続宗
三宅総広	温井総貞
三宅総広	畠山氏
三宅総広	畠山義綱
三宅総広	畠山義総
三宅重利	寺沢広高
三宅重利	明智光秀
三宅重利	明智秀満
三宅長盛	三宅総広
三宅長盛	上杉景勝
三宅長盛	上杉謙信
三宅長盛	佐久間盛政
三宅長盛	前田利家
三宅長盛	温井景隆
三宅長盛	温井続宗
三宅長盛	温井総貞
三宅長盛	畠山春王丸
三宅長盛	畠山義慶
三宅長盛	畠山義続
三宅長盛	畠山義綱
三宅長盛	畠山義隆
三宅長盛	織田信長
三宅長盛	遊佐続光
三宅長盛	長続連
三宅長盛	長綱連
三戸景道	上杉憲政
三戸景道	上杉朝定_(扇谷上杉家)
三戸景道	上杉朝興
三戸景道	上杉謙信
三戸景道	佐竹義重_(十八代当主)
三戸景道	北条氏康
三戸景道	太田氏資
三戸景道	太田資正
三戸景道	太田資頼
三戸景道	山内上杉家
三戸景道	松平信一
三木国綱	姉小路頼綱
三木国綱	金森可重
三木国綱	金森長近
三木直頼	土岐頼芸
三木直頼	姉小路良頼
三木直頼	戦国大名
三木近綱	別所重宗
三木近綱	姉小路信綱
三木近綱	姉小路秀綱
三木近綱	姉小路頼綱
三木近綱	徳川家康
三木近綱	徳川秀忠
三木近綱	戦国大名
三木近綱	豊臣秀吉
三木近綱	遠藤慶隆
三木近綱	金森長近
三木通秋	乃美宗勝
三木通秋	別所長治
三木通秋	小寺政職
三木通秋	毛利氏
三木通秋	毛利輝元
三木通秋	織田信長
三木通秋	豊臣秀吉
三木通秋	赤松政秀
三木通秋	赤松晴政
三木通秋	赤松義祐
三木通秋	足利義昭
三木通秋	黒田孝高
三木通秋	黒田職隆
三木顕綱	姉小路良頼
三木顕綱	姉小路頼綱
三木顕綱	斎藤信利
三村元範	三村元親
三村元範	三村家親
三村元範	小早川隆景
三村元範	毛利氏
三村元範	毛利輝元
